year,issue_date,week,song,artist
1958,,,,
1958,1958-08-04,1958-08-04,Poor Little Fool,Ricky Nelson
1958,1958-08-18,1958-08-18,"Volare (Nel blu dipinto di blu) ""†",Domenico Modugno
1958,1958-08-25,1958-08-25,Little Star,The Elegants
1958,1958-09-01,1958-09-01,"Volare (Nel blu dipinto di blu)""†",Domenico Modugno
1958,1958-09-29,1958-09-29,It's All in the Game,Tommy Edwards
1958,1958-11-10,1958-11-10,It's Only Make Believe,Conway Twitty
1958,1958-11-17,1958-11-17,Tom Dooley,The Kingston Trio
1958,1958-11-24,1958-11-24,It's Only Make Believe,Conway Twitty
1958,1958-12-01,1958-12-01,To Know Him Is to Love Him,The Teddy Bears
1958,1958-12-22,1958-12-22,The Chipmunk Song (Christmas Don't Be Late),The Chipmunks with David Seville
1959,,,,
1959,1959-01-05,1959-01-05,The Chipmunk Song,The Chipmunks with David Seville
1959,1959-01-19,1959-01-19,Smoke Gets in Your Eyes,The Platters
1959,1959-02-09,1959-02-09,Stagger Lee,Lloyd Price
1959,1959-03-09,1959-03-09,Venus,Frankie Avalon
1959,1959-04-13,1959-04-13,Come Softly to Me,The Fleetwoods
1959,1959-05-11,1959-05-11,The Happy Organ,"Dave ""Baby"" Cortez"
1959,1959-05-18,1959-05-18,Kansas City,Wilbert Harrison
1959,1959-06-01,1959-06-01,"The Battle of New Orleans "" †",Johnny Horton
1959,1959-07-13,1959-07-13,Lonely Boy,Paul Anka
1959,1959-08-10,1959-08-10,A Big Hunk o' Love,Elvis Presley
1959,1959-08-24,1959-08-24,The Three Bells,The Browns
1959,1959-09-21,1959-09-21,Sleep Walk,Santo & Johnny
1959,1959-10-05,1959-10-05,Mack the Knife,Bobby Darin
1959,1959-11-16,1959-11-16,Mr. Blue,The Fleetwoods
1959,1959-11-23,1959-11-23,Mack the Knife,Bobby Darin
1959,1959-12-14,1959-12-14,Heartaches by the Number,Guy Mitchell
1959,1959-12-28,1959-12-28,Why,Frankie Avalon
1960,,,,
1960,1960-01-04,1960-01-04,El Paso,Marty Robbins
1960,1960-01-18,1960-01-18,Running Bear,Johnny Preston
1960,1960-02-08,1960-02-08,Teen Angel,Mark Dinning
1960,1960-02-22,1960-02-22,Theme from A Summer Place,Percy Faith
1960,1960-04-25,1960-04-25,Stuck on You,Elvis Presley
1960,1960-05-23,1960-05-23,Cathy's Clown,The Everly Brothers
1960,1960-06-27,1960-06-27,Everybody's Somebody's Fool,Connie Francis
1960,1960-07-11,1960-07-11,Alley Oop,Hollywood Argyles
1960,1960-07-18,1960-07-18,I'm Sorry,Brenda Lee
1960,1960-08-08,1960-08-08,Itsy Bitsy Teenie Weenie Yellow Polkadot Bikini,Brian Hyland
1960,1960-08-15,1960-08-15,It's Now or Never,Elvis Presley
1960,1960-09-19,1960-09-19,The Twist,Chubby Checker
1960,1960-09-26,1960-09-26,My Heart Has a Mind of Its Own,Connie Francis
1960,1960-10-10,1960-10-10,Mr. Custer,Larry Verne
1960,1960-10-17,1960-10-17,Save the Last Dance for Me,The Drifters
1960,1960-10-24,1960-10-24,I Want to Be Wanted,Brenda Lee
1960,1960-10-31,1960-10-31,Save the Last Dance for Me,The Drifters
1960,1960-11-14,1960-11-14,Georgia on My Mind,Ray Charles
1960,1960-11-21,1960-11-21,Stay,Maurice Williams and the Zodiacs
1960,1960-11-28,1960-11-28,Are You Lonesome Tonight?,Elvis Presley
1961,,,,
1961,1961-01-02,1961-01-02,Are You Lonesome Tonight?,Elvis Presley
1961,1961-01-09,1961-01-09,Wonderland by Night,Bert Kaempfert
1961,1961-01-30,1961-01-30,Will You Love Me Tomorrow,The Shirelles
1961,1961-02-13,1961-02-13,Calcutta,Lawrence Welk
1961,1961-02-27,1961-02-27,Pony Time,Chubby Checker
1961,1961-03-20,1961-03-20,Surrender,Elvis Presley
1961,1961-04-03,1961-04-03,Blue Moon,The Marcels
1961,1961-04-24,1961-04-24,Runaway,Del Shannon
1961,1961-05-22,1961-05-22,Mother-in-Law,Ernie K-Doe
1961,1961-05-29,1961-05-29,Travelin' Man,Ricky Nelson
1961,1961-06-05,1961-06-05,Running Scared,Roy Orbison
1961,1961-06-12,1961-06-12,Travelin' Man,Ricky Nelson
1961,1961-06-19,1961-06-19,Moody River,Pat Boone
1961,1961-06-26,1961-06-26,Quarter to Three,Gary U.S. Bonds
1961,1961-07-10,1961-07-10,Tossin' and Turnin,Bobby Lewis
1961,1961-08-28,1961-08-28,Wooden Heart,Joe Dowell
1961,1961-09-04,1961-09-04,Michael,The Highwaymen
1961,1961-09-18,1961-09-18,Take Good Care of My Baby,Bobby Vee
1961,1961-10-09,1961-10-09,Hit the Road Jack,Ray Charles
1961,1961-10-23,1961-10-23,Runaround Sue,Dion
1961,1961-11-06,1961-11-06,Big Bad John,Jimmy Dean
1961,1961-12-11,1961-12-11,Please Mr. Postman,The Marvelettes
1961,1961-12-18,1961-12-18,The Lion Sleeps Tonight,The Tokens
1962,,,,
1962,1962-01-06,1962-01-06,The Lion Sleeps Tonight,The Tokens
1962,1962-01-13,1962-01-13,The Twist,Chubby Checker
1962,1962-01-27,1962-01-27,Peppermint Twist,Joey Dee and the Starliters
1962,1962-02-17,1962-02-17,Duke of Earl,Gene Chandler
1962,1962-03-10,1962-03-10,Hey! Baby,Bruce Channel
1962,1962-03-31,1962-03-31,Don't Break the Heart That Loves You,Connie Francis
1962,1962-04-07,1962-04-07,Johnny Angel,Shelley Fabares
1962,1962-04-21,1962-04-21,Good Luck Charm,Elvis Presley
1962,1962-05-05,1962-05-05,Soldier Boy,The Shirelles
1962,1962-05-26,1962-05-26,Stranger on the Shore,Mr. Acker Bilk
1962,1962-06-02,1962-06-02,I Can't Stop Loving You,Ray Charles
1962,1962-07-07,1962-07-07,The Stripper,David Rose
1962,1962-07-14,1962-07-14,Roses Are Red (My Love),Bobby Vinton
1962,1962-08-11,1962-08-11,Breaking Up Is Hard to Do,Neil Sedaka
1962,1962-08-25,1962-08-25,The Loco-Motion,Little Eva
1962,1962-09-01,1962-09-01,Sheila,Tommy Roe
1962,1962-09-15,1962-09-15,Sherry,The Four Seasons
1962,1962-10-20,1962-10-20,Monster Mash,Bobby 'Boris' Pickett & the Crypt-Kickers
1962,1962-11-03,1962-11-03,He's a Rebel,The Crystals
1962,1962-11-17,1962-11-17,Big Girls Don't Cry,The Four Seasons
1962,1962-12-22,1962-12-22,Telstar,The Tornados
1963,,,,
1963,1963-01-05,1963-01-05,Telstar,The Tornados
1963,1963-01-12,1963-01-12,Go Away Little Girl,Steve Lawrence
1963,1963-01-26,1963-01-26,Walk Right In,The Rooftop Singers
1963,1963-02-09,1963-02-09,Hey Paula,Paul & Paula
1963,1963-03-02,1963-03-02,Walk Like a Man,The Four Seasons
1963,1963-03-23,1963-03-23,Our Day Will Come,Ruby & the Romantics
1963,1963-03-30,1963-03-30,He's So Fine,The Chiffons
1963,1963-04-27,1963-04-27,I Will Follow Him,Little Peggy March
1963,1963-05-18,1963-05-18,If You Wanna Be Happy,Jimmy Soul
1963,1963-06-01,1963-06-01,It's My Party,Lesley Gore
1963,1963-06-15,1963-06-15,Sukiyaki,Kyu Sakamoto
1963,1963-07-06,1963-07-06,Easier Said Than Done,The Essex
1963,1963-07-20,1963-07-20,Surf City,Jan and Dean
1963,1963-08-03,1963-08-03,So Much in Love,The Tymes
1963,1963-08-10,1963-08-10,Fingertips,Little Stevie Wonder
1963,1963-08-31,1963-08-31,My Boyfriend's Back,The Angels
1963,1963-09-21,1963-09-21,Blue Velvet,Bobby Vinton
1963,1963-10-12,1963-10-12,"Sugar Shack ""†",Jimmy Gilmer and the Fireballs
1963,1963-11-16,1963-11-16,Deep Purple,Nino Tempo & April Stevens
1963,1963-11-23,1963-11-23,I'm Leaving It Up to You,Dale & Grace
1963,1963-12-07,1963-12-07,Dominique,The Singing Nun
1964,,,,
1964,1964-01-04,1964-01-04,There! I've Said It Again,Bobby Vinton
1964,1964-02-01,1964-02-01,I Want to Hold Your Hand,The Beatles
1964,1964-03-21,1964-03-21,She Loves You,[ 12 ]
1964,1964-04-04,1964-04-04,Can't Buy Me Love,[ 14 ]
1964,1964-05-09,1964-05-09,"Hello, Dolly!",Louis Armstrong
1964,1964-05-16,1964-05-16,My Guy,Mary Wells
1964,1964-05-30,1964-05-30,Love Me Do,The Beatles
1964,1964-06-06,1964-06-06,Chapel of Love,The Dixie Cups
1964,1964-06-27,1964-06-27,A World Without Love,Peter and Gordon
1964,1964-07-04,1964-07-04,I Get Around,The Beach Boys
1964,1964-07-18,1964-07-18,Rag Doll,The Four Seasons
1964,1964-08-01,1964-08-01,A Hard Day's Night,The Beatles
1964,1964-08-15,1964-08-15,Everybody Loves Somebody,Dean Martin
1964,1964-08-22,1964-08-22,Where Did Our Love Go,The Supremes
1964,1964-09-05,1964-09-05,The House of the Rising Sun,The Animals
1964,1964-09-26,1964-09-26,"Oh, Pretty Woman",Roy Orbison
1964,1964-10-17,1964-10-17,Do Wah Diddy Diddy,Manfred Mann
1964,1964-10-31,1964-10-31,Baby Love,The Supremes
1964,1964-11-28,1964-11-28,Leader of the Pack,The Shangri-Las
1964,1964-12-05,1964-12-05,Ringo,Lorne Greene
1964,1964-12-12,1964-12-12,Mr. Lonely,Bobby Vinton
1964,1964-12-19,1964-12-19,Come See About Me,The Supremes
1964,1964-12-26,1964-12-26,I Feel Fine,The Beatles
1965,,,,
1965,1965-01-02,1965-01-02,I Feel Fine,The Beatles
1965,1965-01-16,1965-01-16,Come See About Me,The Supremes
1965,1965-01-23,1965-01-23,Downtown,Petula Clark
1965,1965-02-06,1965-02-06,You've Lost That Lovin' Feelin,The Righteous Brothers
1965,1965-02-20,1965-02-20,This Diamond Ring,Gary Lewis & the Playboys
1965,1965-03-06,1965-03-06,My Girl,The Temptations
1965,1965-03-13,1965-03-13,Eight Days a Week,The Beatles
1965,1965-03-27,1965-03-27,Stop! In the Name of Love,The Supremes
1965,1965-04-10,1965-04-10,I'm Telling You Now,Freddie and the Dreamers
1965,1965-04-24,1965-04-24,The Game of Love,Wayne Fontana and the Mindbenders
1965,1965-05-01,1965-05-01,"Mrs. Brown, You've Got a Lovely Daughter",Herman's Hermits
1965,1965-05-22,1965-05-22,Ticket to Ride,The Beatles
1965,1965-05-29,1965-05-29,"Help Me, Rhonda",The Beach Boys
1965,1965-06-12,1965-06-12,Back in My Arms Again,The Supremes
1965,1965-06-19,1965-06-19,I Can't Help Myself (Sugar Pie Honey Bunch),Four Tops
1965,1965-06-26,1965-06-26,Mr. Tambourine Man,The Byrds
1965,1965-07-03,1965-07-03,I Can't Help Myself (Sugar Pie Honey Bunch),Four Tops
1965,1965-07-10,1965-07-10,(I Can't Get No) Satisfaction,The Rolling Stones
1965,1965-08-07,1965-08-07,"I'm Henry VIII, I Am",Herman's Hermits
1965,1965-08-14,1965-08-14,I Got You Babe,Sonny & Cher
1965,1965-09-04,1965-09-04,Help!,The Beatles
1965,1965-09-25,1965-09-25,Eve of Destruction,Barry McGuire
1965,1965-10-02,1965-10-02,Hang On Sloopy,The McCoys
1965,1965-10-09,1965-10-09,Yesterday,The Beatles
1965,1965-11-06,1965-11-06,Get Off of My Cloud,The Rolling Stones
1965,1965-11-20,1965-11-20,I Hear a Symphony,The Supremes
1965,1965-12-04,1965-12-04,Turn! Turn! Turn! (To Everything There Is a Season),The Byrds
1965,1965-12-25,1965-12-25,Over and Over,The Dave Clark Five
1966,,,,
1966,1966-01-01,1966-01-01,The Sound of Silence,Simon & Garfunkel
1966,1966-01-08,1966-01-08,We Can Work It Out,The Beatles
1966,1966-01-22,1966-01-22,The Sound of Silence,Simon & Garfunkel
1966,1966-01-29,1966-01-29,We Can Work It Out,The Beatles
1966,1966-02-05,1966-02-05,My Love,Petula Clark
1966,1966-02-19,1966-02-19,Lightnin' Strikes,Lou Christie
1966,1966-02-26,1966-02-26,These Boots Are Made for Walkin,Nancy Sinatra
1966,1966-03-05,1966-03-05,The Ballad of the Green Berets,SSgt Barry Sadler
1966,1966-04-09,1966-04-09,(You're My) Soul and Inspiration,The Righteous Brothers
1966,1966-04-30,1966-04-30,Good Lovin,The Young Rascals
1966,1966-05-07,1966-05-07,"Monday, Monday",The Mamas & the Papas
1966,1966-05-28,1966-05-28,When a Man Loves a Woman,Percy Sledge
1966,1966-06-11,1966-06-11,Paint It Black,The Rolling Stones
1966,1966-06-25,1966-06-25,Paperback Writer,The Beatles
1966,1966-07-02,1966-07-02,Strangers in the Night,Frank Sinatra
1966,1966-07-09,1966-07-09,Paperback Writer,The Beatles
1966,1966-07-16,1966-07-16,Hanky Panky,Tommy James and the Shondells
1966,1966-07-30,1966-07-30,Wild Thing,The Troggs
1966,1966-08-13,1966-08-13,Summer in the City,The Lovin' Spoonful
1966,1966-09-03,1966-09-03,Sunshine Superman,Donovan
1966,1966-09-10,1966-09-10,You Can't Hurry Love,The Supremes
1966,1966-09-24,1966-09-24,Cherish,The Association
1966,1966-10-15,1966-10-15,Reach Out I'll Be There,Four Tops
1966,1966-10-29,1966-10-29,96 Tears,? and the Mysterians
1966,1966-11-05,1966-11-05,Last Train to Clarksville,The Monkees
1966,1966-11-12,1966-11-12,Poor Side of Town,Johnny Rivers
1966,1966-11-19,1966-11-19,You Keep Me Hangin' On,The Supremes
1966,1966-12-03,1966-12-03,Winchester Cathedral,The New Vaudeville Band
1966,1966-12-10,1966-12-10,Good Vibrations,The Beach Boys
1966,1966-12-17,1966-12-17,Winchester Cathedral,The New Vaudeville Band
1966,1966-12-31,1966-12-31,I'm a Believer,The Monkees
1967,,,,
1967,1967-01-07,1967-01-07,I'm a Believer,The Monkees
1967,1967-02-18,1967-02-18,Kind of a Drag,The Buckinghams
1967,1967-03-04,1967-03-04,Ruby Tuesday,The Rolling Stones
1967,1967-03-11,1967-03-11,Love Is Here and Now You're Gone,The Supremes
1967,1967-03-18,1967-03-18,Penny Lane,The Beatles
1967,1967-03-25,1967-03-25,Happy Together,The Turtles
1967,1967-04-15,1967-04-15,Somethin' Stupid,Nancy Sinatra and Frank Sinatra
1967,1967-05-13,1967-05-13,The Happening,The Supremes
1967,1967-05-20,1967-05-20,Groovin,The Young Rascals
1967,1967-06-03,1967-06-03,Respect,Aretha Franklin
1967,1967-06-17,1967-06-17,Groovin,The Young Rascals
1967,1967-07-01,1967-07-01,Windy,The Association
1967,1967-07-29,1967-07-29,Light My Fire,The Doors
1967,1967-08-19,1967-08-19,All You Need Is Love,The Beatles
1967,1967-08-26,1967-08-26,Ode to Billie Joe,Bobbie Gentry
1967,1967-09-23,1967-09-23,The Letter,The Box Tops
1967,1967-10-21,1967-10-21,To Sir With Love,Lulu
1967,1967-11-25,1967-11-25,Incense and Peppermints,Strawberry Alarm Clock
1967,1967-12-02,1967-12-02,Daydream Believer,The Monkees
1967,1967-12-30,1967-12-30,"Hello, Goodbye",The Beatles
1968,,,,
1968,1968-01-06,1968-01-06,"Hello, Goodbye",The Beatles
1968,1968-01-20,1968-01-20,Judy in Disguise (With Glasses),John Fred and His Playboy Band
1968,1968-02-03,1968-02-03,Green Tambourine,The Lemon Pipers
1968,1968-02-10,1968-02-10,Love is Blue,Paul Mauriat
1968,1968-03-16,1968-03-16,(Sittin' On) The Dock of the Bay,Otis Redding
1968,1968-04-13,1968-04-13,Honey,Bobby Goldsboro
1968,1968-05-18,1968-05-18,Tighten Up,Archie Bell & the Drells
1968,1968-06-01,1968-06-01,Mrs. Robinson,Simon & Garfunkel
1968,1968-06-22,1968-06-22,This Guy's in Love with You,Herb Alpert
1968,1968-07-20,1968-07-20,Grazing in the Grass,Hugh Masekela
1968,1968-08-03,1968-08-03,"Hello, I Love You",The Doors
1968,1968-08-17,1968-08-17,People Got to Be Free,The Rascals
1968,1968-09-21,1968-09-21,Harper Valley PTA,Jeannie C. Riley
1968,1968-09-28,1968-09-28,Hey Jude,The Beatles
1968,1968-11-30,1968-11-30,Love Child,Diana Ross & the Supremes
1968,1968-12-14,1968-12-14,I Heard It Through the Grapevine,Marvin Gaye
1969,,,,
1969,1969-01-04,1969-01-04,I Heard It Through the Grapevine,Marvin Gaye
1969,1969-02-01,1969-02-01,Crimson and Clover,Tommy James and the Shondells
1969,1969-02-15,1969-02-15,Everyday People,Sly & the Family Stone
1969,1969-03-15,1969-03-15,Dizzy,Tommy Roe
1969,1969-04-12,1969-04-12,Aquarius/Let the Sunshine In,The 5th Dimension
1969,1969-05-24,1969-05-24,Get Back,The Beatles with Billy Preston
1969,1969-06-28,1969-06-28,Love Theme from Romeo and Juliet,Henry Mancini
1969,1969-07-12,1969-07-12,In the Year 2525,Zager and Evans
1969,1969-08-23,1969-08-23,Honky Tonk Women,The Rolling Stones
1969,1969-09-20,1969-09-20,"Sugar, Sugar",The Archies
1969,1969-10-18,1969-10-18,I Can't Get Next to You,The Temptations
1969,1969-11-01,1969-11-01,Suspicious Minds,Elvis Presley
1969,1969-11-08,1969-11-08,Wedding Bell Blues,The 5th Dimension
1969,1969-11-29,1969-11-29,"Come Together "" / "" Something",The Beatles
1969,1969-12-06,1969-12-06,Na Na Hey Hey Kiss Him Goodbye,Steam
1969,1969-12-20,1969-12-20,Leaving on a Jet Plane,"Peter, Paul and Mary"
1969,1969-12-27,1969-12-27,Someday We'll Be Together,Diana Ross & the Supremes
1970,,,,
1970,1970-01-03,1970-01-03,Raindrops Keep Fallin' on My Head,B. J. Thomas
1970,1970-01-31,1970-01-31,I Want You Back,The Jackson 5
1970,1970-02-07,1970-02-07,Venus,Shocking Blue
1970,1970-02-14,1970-02-14,"Thank You (Falettinme Be Mice Elf Agin) "" / "" Everybody Is a Star",Sly & the Family Stone
1970,1970-02-28,1970-02-28,Bridge over Troubled Water,Simon & Garfunkel
1970,1970-04-11,1970-04-11,Let It Be,The Beatles
1970,1970-04-25,1970-04-25,ABC,The Jackson 5
1970,1970-05-09,1970-05-09,"American Woman "" / "" No Sugar Tonight",The Guess Who
1970,1970-05-30,1970-05-30,Everything Is Beautiful,Ray Stevens
1970,1970-06-13,1970-06-13,"The Long and Winding Road "" / "" For You Blue",The Beatles
1970,1970-06-27,1970-06-27,The Love You Save,The Jackson 5
1970,1970-07-11,1970-07-11,Mama Told Me (Not to Come),Three Dog Night
1970,1970-07-25,1970-07-25,(They Long to Be) Close to You,The Carpenters
1970,1970-08-22,1970-08-22,Make It with You,Bread
1970,1970-08-29,1970-08-29,War,Edwin Starr
1970,1970-09-19,1970-09-19,Ain't No Mountain High Enough,Diana Ross
1970,1970-10-10,1970-10-10,Cracklin' Rosie,Neil Diamond
1970,1970-10-17,1970-10-17,I'll Be There,The Jackson 5
1970,1970-11-21,1970-11-21,I Think I Love You,The Partridge Family
1970,1970-12-12,1970-12-12,The Tears of a Clown,Smokey Robinson & the Miracles
1970,1970-12-26,1970-12-26,"My Sweet Lord "" / "" Isn't It a Pity",George Harrison
1971,,,,
1971,1971-01-02,1971-01-02,"My Sweet Lord "" / "" Isn't It a Pity",George Harrison
1971,1971-01-23,1971-01-23,Knock Three Times,Dawn
1971,1971-02-13,1971-02-13,One Bad Apple,The Osmonds
1971,1971-03-20,1971-03-20,Me and Bobby McGee,Janis Joplin
1971,1971-04-03,1971-04-03,Just My Imagination (Running Away with Me),The Temptations
1971,1971-04-17,1971-04-17,Joy to the World,Three Dog Night
1971,1971-05-29,1971-05-29,Brown Sugar,The Rolling Stones
1971,1971-06-12,1971-06-12,Want Ads,Honey Cone
1971,1971-06-19,1971-06-19,"It's Too Late "" / "" I Feel the Earth Move",Carole King
1971,1971-07-24,1971-07-24,Indian Reservation (The Lament of the Cherokee Reservation Indian),The Raiders
1971,1971-07-31,1971-07-31,You've Got a Friend,James Taylor
1971,1971-08-07,1971-08-07,How Can You Mend a Broken Heart,Bee Gees
1971,1971-09-04,1971-09-04,Uncle Albert/Admiral Halsey,Paul & Linda McCartney
1971,1971-09-11,1971-09-11,Go Away Little Girl,Donny Osmond
1971,1971-10-02,1971-10-02,"Maggie May "" / "" Reason to Believe",Rod Stewart
1971,1971-11-06,1971-11-06,"Gypsys, Tramps & Thieves",Cher
1971,1971-11-20,1971-11-20,Theme from Shaft,Isaac Hayes
1971,1971-12-04,1971-12-04,Family Affair,Sly and the Family Stone
1971,1971-12-25,1971-12-25,Brand New Key,Melanie
1972,,,,
1972,1972-01-01,1972-01-01,Brand New Key,Melanie
1972,1972-01-15,1972-01-15,American Pie,Don McLean
1972,1972-02-12,1972-02-12,Let's Stay Together,Al Green
1972,1972-02-19,1972-02-19,Without You,Nilsson
1972,1972-03-18,1972-03-18,Heart of Gold,Neil Young
1972,1972-03-25,1972-03-25,A Horse with No Name,America
1972,1972-04-15,1972-04-15,"The First Time Ever I Saw Your Face ""†",Roberta Flack
1972,1972-05-27,1972-05-27,Oh Girl,The Chi-Lites
1972,1972-06-03,1972-06-03,I'll Take You There,The Staple Singers
1972,1972-06-10,1972-06-10,The Candy Man,Sammy Davis Jr.
1972,1972-07-01,1972-07-01,Song Sung Blue,Neil Diamond
1972,1972-07-08,1972-07-08,Lean on Me,Bill Withers
1972,1972-07-29,1972-07-29,Alone Again (Naturally),Gilbert O'Sullivan
1972,1972-08-26,1972-08-26,Brandy (You're a Fine Girl),Looking Glass
1972,1972-09-02,1972-09-02,Alone Again (Naturally),Gilbert O'Sullivan
1972,1972-09-16,1972-09-16,Black and White,Three Dog Night
1972,1972-09-23,1972-09-23,"Baby, Don't Get Hooked on Me",Mac Davis
1972,1972-10-14,1972-10-14,Ben,Michael Jackson
1972,1972-10-21,1972-10-21,My Ding-a-Ling,Chuck Berry
1972,1972-11-04,1972-11-04,I Can See Clearly Now,Johnny Nash
1972,1972-12-02,1972-12-02,Papa Was a Rollin' Stone,The Temptations
1972,1972-12-09,1972-12-09,I Am Woman,Helen Reddy
1972,1972-12-16,1972-12-16,Me and Mrs. Jones,Billy Paul
1973,,,,
1973,1973-01-06,1973-01-06,You're So Vain,Carly Simon
1973,1973-01-27,1973-01-27,Superstition,Stevie Wonder
1973,1973-02-03,1973-02-03,Crocodile Rock,Elton John
1973,1973-02-24,1973-02-24,Killing Me Softly with His Song,Roberta Flack
1973,1973-03-24,1973-03-24,Love Train,The O'Jays
1973,1973-03-31,1973-03-31,Killing Me Softly with His Song,Roberta Flack
1973,1973-04-07,1973-04-07,The Night the Lights Went Out in Georgia,Vicki Lawrence
1973,1973-04-21,1973-04-21,Tie a Yellow Ribbon Round the Ole Oak Tree,Dawn featuring Tony Orlando
1973,1973-05-19,1973-05-19,You Are the Sunshine of My Life,Stevie Wonder
1973,1973-05-26,1973-05-26,Frankenstein,The Edgar Winter Group
1973,1973-06-02,1973-06-02,My Love,Paul McCartney & Wings
1973,1973-06-30,1973-06-30,Give Me Love (Give Me Peace on Earth),George Harrison
1973,1973-07-07,1973-07-07,Will It Go Round in Circles,Billy Preston
1973,1973-07-21,1973-07-21,"Bad, Bad Leroy Brown",Jim Croce
1973,1973-08-04,1973-08-04,The Morning After,Maureen McGovern
1973,1973-08-18,1973-08-18,Touch Me in the Morning,Diana Ross
1973,1973-08-25,1973-08-25,Brother Louie,Stories
1973,1973-09-08,1973-09-08,Let's Get It On,Marvin Gaye
1973,1973-09-15,1973-09-15,Delta Dawn,Helen Reddy
1973,1973-09-22,1973-09-22,Let's Get It On,Marvin Gaye
1973,1973-09-29,1973-09-29,We're an American Band,Grand Funk
1973,1973-10-06,1973-10-06,Half-Breed,Cher
1973,1973-10-20,1973-10-20,Angie,The Rolling Stones
1973,1973-10-27,1973-10-27,Midnight Train to Georgia,Gladys Knight & the Pips
1973,1973-11-10,1973-11-10,Keep on Truckin,Eddie Kendricks
1973,1973-11-24,1973-11-24,Photograph,Ringo Starr
1973,1973-12-01,1973-12-01,Top of the World,The Carpenters
1973,1973-12-15,1973-12-15,The Most Beautiful Girl,Charlie Rich
