year,issue_date,week,song,artist
1973,1973-12-29,1973-12-29,Time in a Bottle,Jim Croce
1974,,,,
1974,1974-01-05,1974-01-05,Time in a Bottle,Jim Croce
1974,1974-01-12,1974-01-12,The Joker,Steve Miller Band
1974,1974-01-19,1974-01-19,Show and Tell,Al Wilson
1974,1974-01-26,1974-01-26,You're Sixteen,Ringo Starr
1974,1974-02-02,1974-02-02,The Way We Were,Barbra Streisand
1974,1974-02-09,1974-02-09,Love's Theme,Love Unlimited Orchestra
1974,1974-02-16,1974-02-16,The Way We Were,Barbra Streisand
1974,1974-03-02,1974-03-02,Seasons in the Sun,Terry Jacks
1974,1974-03-23,1974-03-23,Dark Lady,Cher
1974,1974-03-30,1974-03-30,Sunshine on My Shoulders,John Denver
1974,1974-04-06,1974-04-06,Hooked on a Feeling,Blue Swede
1974,1974-04-13,1974-04-13,Bennie and the Jets,Elton John
1974,1974-04-20,1974-04-20,TSOP (The Sound of Philadelphia),MFSB and The Three Degrees
1974,1974-05-04,1974-05-04,The Loco-Motion,Grand Funk
1974,1974-05-18,1974-05-18,The Streak,Ray Stevens
1974,1974-06-08,1974-06-08,Band on the Run,Paul McCartney & Wings
1974,1974-06-15,1974-06-15,Billy Don't Be a Hero,Bo Donaldson and The Heywoods
1974,1974-06-29,1974-06-29,Sundown,Gordon Lightfoot
1974,1974-07-06,1974-07-06,Rock the Boat,The Hues Corporation
1974,1974-07-13,1974-07-13,Rock Your Baby,George McCrae
1974,1974-07-27,1974-07-27,Annie's Song,John Denver
1974,1974-08-10,1974-08-10,Feel Like Makin' Love,Roberta Flack
1974,1974-08-17,1974-08-17,The Night Chicago Died,Paper Lace
1974,1974-08-24,1974-08-24,(You're) Having My Baby,Paul Anka and Odia Coates
1974,1974-09-14,1974-09-14,I Shot the Sheriff,Eric Clapton
1974,1974-09-21,1974-09-21,"Can't Get Enough of Your Love, Babe",Barry White
1974,1974-09-28,1974-09-28,Rock Me Gently,Andy Kim
1974,1974-10-05,1974-10-05,I Honestly Love You,Olivia Newton-John
1974,1974-10-19,1974-10-19,Nothing From Nothing,Billy Preston
1974,1974-10-26,1974-10-26,Then Came You,Dionne Warwick and The Spinners
1974,1974-11-02,1974-11-02,You Haven't Done Nothin,Stevie Wonder
1974,1974-11-09,1974-11-09,You Ain't Seen Nothing Yet,Bachman–Turner Overdrive
1974,1974-11-16,1974-11-16,Whatever Gets You thru the Night,John Lennon
1974,1974-11-23,1974-11-23,I Can Help,Billy Swan
1974,1974-12-07,1974-12-07,Kung Fu Fighting,Carl Douglas
1974,1974-12-21,1974-12-21,Cat's in the Cradle,Harry Chapin
1974,1974-12-28,1974-12-28,Angie Baby,Helen Reddy
1975,,,,
1975,1975-01-04,1975-01-04,Lucy in the Sky with Diamonds,Elton John
1975,1975-01-18,1975-01-18,Mandy,Barry Manilow
1975,1975-01-25,1975-01-25,Please Mr. Postman,The Carpenters
1975,1975-02-01,1975-02-01,Laughter in the Rain,Neil Sedaka
1975,1975-02-08,1975-02-08,Fire,Ohio Players
1975,1975-02-15,1975-02-15,You're No Good,Linda Ronstadt
1975,1975-02-22,1975-02-22,Pick Up the Pieces,Average White Band
1975,1975-03-01,1975-03-01,Best of My Love,Eagles
1975,1975-03-08,1975-03-08,Have You Never Been Mellow,Olivia Newton-John
1975,1975-03-15,1975-03-15,Black Water,The Doobie Brothers
1975,1975-03-22,1975-03-22,My Eyes Adored You,Frankie Valli
1975,1975-03-29,1975-03-29,Lady Marmalade,Labelle
1975,1975-04-05,1975-04-05,Lovin' You,Minnie Riperton
1975,1975-04-12,1975-04-12,Philadelphia Freedom,Elton John Band
1975,1975-04-26,1975-04-26,(Hey Won't You Play) Another Somebody Done Somebody Wrong Song,B. J. Thomas
1975,1975-05-03,1975-05-03,He Don't Love You (Like I Love You),Tony Orlando and Dawn
1975,1975-05-24,1975-05-24,Shining Star,"Earth, Wind & Fire"
1975,1975-05-31,1975-05-31,Before the Next Teardrop Falls,Freddy Fender
1975,1975-06-07,1975-06-07,Thank God I'm a Country Boy,John Denver
1975,1975-06-14,1975-06-14,Sister Golden Hair,America
1975,1975-06-21,1975-06-21,Love Will Keep Us Together,Captain & Tennille
1975,1975-07-19,1975-07-19,Listen to What the Man Said,Wings
1975,1975-07-26,1975-07-26,The Hustle,Van McCoy and the Soul City Symphony
1975,1975-08-02,1975-08-02,One of These Nights,Eagles
1975,1975-08-09,1975-08-09,Jive Talkin,Bee Gees
1975,1975-08-23,1975-08-23,Fallin' in Love,"Hamilton, Joe Frank & Reynolds"
1975,1975-08-30,1975-08-30,Get Down Tonight,KC and the Sunshine Band
1975,1975-09-06,1975-09-06,Rhinestone Cowboy,Glen Campbell
1975,1975-09-20,1975-09-20,Fame,David Bowie
1975,1975-09-27,1975-09-27,I'm Sorry,John Denver
1975,1975-10-04,1975-10-04,Fame,David Bowie
1975,1975-10-11,1975-10-11,Bad Blood,Neil Sedaka
1975,1975-11-01,1975-11-01,Island Girl,Elton John
1975,1975-11-22,1975-11-22,That's the Way (I Like It),KC and the Sunshine Band
1975,1975-11-29,1975-11-29,"Fly, Robin, Fly",Silver Convention
1975,1975-12-20,1975-12-20,That's the Way (I Like It),KC and the Sunshine Band
1975,1975-12-27,1975-12-27,Let's Do It Again,The Staple Singers
1976,,,,
1976,1976-01-03,1976-01-03,Saturday Night,Bay City Rollers
1976,1976-01-10,1976-01-10,Convoy,C. W. McCall
1976,1976-01-17,1976-01-17,I Write the Songs,Barry Manilow
1976,1976-01-24,1976-01-24,Theme from Mahogany (Do You Know Where You're Going To),Diana Ross
1976,1976-01-31,1976-01-31,Love Rollercoaster,Ohio Players
1976,1976-02-07,1976-02-07,50 Ways to Leave Your Lover,Paul Simon
1976,1976-02-28,1976-02-28,Theme from S.W.A.T.,Rhythm Heritage
1976,1976-03-06,1976-03-06,Love Machine,The Miracles
1976,1976-03-13,1976-03-13,"December, 1963 (Oh, What a Night)",The Four Seasons
1976,1976-04-03,1976-04-03,Disco Lady,Johnnie Taylor
1976,1976-05-01,1976-05-01,Let Your Love Flow,The Bellamy Brothers
1976,1976-05-08,1976-05-08,Welcome Back,John Sebastian
1976,1976-05-15,1976-05-15,Boogie Fever,The Sylvers
1976,1976-05-22,1976-05-22,Silly Love Songs,Wings
1976,1976-05-29,1976-05-29,Love Hangover,Diana Ross
1976,1976-06-12,1976-06-12,Silly Love Songs,Wings
1976,1976-07-10,1976-07-10,Afternoon Delight,Starland Vocal Band
1976,1976-07-24,1976-07-24,Kiss and Say Goodbye,The Manhattans
1976,1976-08-07,1976-08-07,Don't Go Breaking My Heart,Elton John and Kiki Dee
1976,1976-09-04,1976-09-04,You Should Be Dancing,Bee Gees
1976,1976-09-11,1976-09-11,"(Shake, Shake, Shake) Shake Your Booty",KC and the Sunshine Band
1976,1976-09-18,1976-09-18,Play That Funky Music,Wild Cherry
1976,1976-10-09,1976-10-09,A Fifth of Beethoven,Walter Murphy and the Big Apple Band
1976,1976-10-16,1976-10-16,Disco Duck,Rick Dees and His Cast of Idiots
1976,1976-10-23,1976-10-23,If You Leave Me Now,Chicago
1976,1976-11-06,1976-11-06,Rock'n Me,Steve Miller Band
1976,1976-11-13,1976-11-13,Tonight's the Night (Gonna Be Alright),Rod Stewart
1977,,,,
1977,1977-01-01,1977-01-01,Tonight's the Night (Gonna Be Alright),Rod Stewart
1977,1977-01-08,1977-01-08,You Don't Have to Be a Star (To Be in My Show),Marilyn McCoo and Billy Davis Jr.
1977,1977-01-15,1977-01-15,You Make Me Feel Like Dancing,Leo Sayer
1977,1977-01-22,1977-01-22,I Wish,Stevie Wonder
1977,1977-01-29,1977-01-29,Car Wash,Rose Royce
1977,1977-02-05,1977-02-05,Torn Between Two Lovers,Mary MacGregor
1977,1977-02-19,1977-02-19,Blinded by the Light,Manfred Mann's Earth Band
1977,1977-02-26,1977-02-26,New Kid in Town,Eagles
1977,1977-03-05,1977-03-05,Evergreen (Love Theme from A Star Is Born ),Barbra Streisand
1977,1977-03-26,1977-03-26,Rich Girl,Daryl Hall and John Oates
1977,1977-04-09,1977-04-09,Dancing Queen,ABBA
1977,1977-04-16,1977-04-16,Don't Give Up on Us,David Soul
1977,1977-04-23,1977-04-23,Don't Leave Me This Way,Thelma Houston
1977,1977-04-30,1977-04-30,Southern Nights,Glen Campbell
1977,1977-05-07,1977-05-07,Hotel California,Eagles
1977,1977-05-14,1977-05-14,When I Need You,Leo Sayer
1977,1977-05-21,1977-05-21,Sir Duke,Stevie Wonder
1977,1977-06-11,1977-06-11,I'm Your Boogie Man,KC and the Sunshine Band
1977,1977-06-18,1977-06-18,Dreams,Fleetwood Mac
1977,1977-06-25,1977-06-25,Got to Give It Up,Marvin Gaye
1977,1977-07-02,1977-07-02,Gonna Fly Now (Theme From Rocky ),Bill Conti
1977,1977-07-09,1977-07-09,Undercover Angel,Alan O'Day
1977,1977-07-16,1977-07-16,Da Doo Ron Ron,Shaun Cassidy
1977,1977-07-23,1977-07-23,Looks Like We Made It,Barry Manilow
1977,1977-07-30,1977-07-30,I Just Want to Be Your Everything,Andy Gibb
1977,1977-08-20,1977-08-20,Best of My Love,The Emotions
1977,1977-09-17,1977-09-17,I Just Want to Be Your Everything,Andy Gibb
1977,1977-09-24,1977-09-24,Best of My Love,The Emotions
1977,1977-10-01,1977-10-01,Star Wars Theme/Cantina Band,Meco
1977,1977-10-15,1977-10-15,You Light Up My Life,Debby Boone
1977,1977-12-24,1977-12-24,How Deep Is Your Love,Bee Gees
1978,,,,
1978,1978-01-07,1978-01-07,How Deep Is Your Love,Bee Gees
1978,1978-01-14,1978-01-14,Baby Come Back,Player
1978,1978-02-04,1978-02-04,Stayin' Alive,Bee Gees
1978,1978-03-04,1978-03-04,(Love Is) Thicker Than Water,Andy Gibb
1978,1978-03-18,1978-03-18,Night Fever,Bee Gees
1978,1978-05-13,1978-05-13,If I Can't Have You,Yvonne Elliman
1978,1978-05-20,1978-05-20,With a Little Luck,Wings
1978,1978-06-03,1978-06-03,"Too Much, Too Little, Too Late",Johnny Mathis and Deniece Williams
1978,1978-06-10,1978-06-10,You're the One That I Want,John Travolta and Olivia Newton-John
1978,1978-06-17,1978-06-17,Shadow Dancing,Andy Gibb
1978,1978-08-05,1978-08-05,Miss You,The Rolling Stones
1978,1978-08-12,1978-08-12,Three Times a Lady,Commodores
1978,1978-08-26,1978-08-26,Grease,Frankie Valli
1978,1978-09-09,1978-09-09,Boogie Oogie Oogie,A Taste of Honey
1978,1978-09-30,1978-09-30,Kiss You All Over,Exile
1978,1978-10-28,1978-10-28,Hot Child in the City,Nick Gilder
1978,1978-11-04,1978-11-04,You Needed Me,Anne Murray
1978,1978-11-11,1978-11-11,MacArthur Park,Donna Summer
1978,1978-12-02,1978-12-02,You Don't Bring Me Flowers,Barbra Streisand and Neil Diamond
1978,1978-12-09,1978-12-09,Le Freak,Chic
1978,1978-12-16,1978-12-16,You Don't Bring Me Flowers,Barbra Streisand and Neil Diamond
1978,1978-12-23,1978-12-23,Le Freak,Chic
1979,,,,
1979,1979-01-06,1979-01-06,Too Much Heaven,Bee Gees
1979,1979-01-20,1979-01-20,Le Freak,Chic
1979,1979-02-10,1979-02-10,Da Ya Think I'm Sexy?,Rod Stewart
1979,1979-03-10,1979-03-10,I Will Survive,Gloria Gaynor
1979,1979-03-24,1979-03-24,Tragedy,Bee Gees
1979,1979-04-07,1979-04-07,I Will Survive,Gloria Gaynor
1979,1979-04-14,1979-04-14,What a Fool Believes,The Doobie Brothers
1979,1979-04-21,1979-04-21,Knock on Wood,Amii Stewart
1979,1979-04-28,1979-04-28,Heart of Glass,Blondie
1979,1979-05-05,1979-05-05,Reunited,Peaches & Herb
1979,1979-06-02,1979-06-02,Hot Stuff,Donna Summer
1979,1979-06-09,1979-06-09,Love You Inside Out,Bee Gees
1979,1979-06-16,1979-06-16,Hot Stuff,Donna Summer
1979,1979-06-30,1979-06-30,Ring My Bell,Anita Ward
1979,1979-07-14,1979-07-14,Bad Girls,Donna Summer
1979,1979-08-18,1979-08-18,Good Times,Chic
1979,1979-08-25,1979-08-25,My Sharona,The Knack
1979,1979-10-06,1979-10-06,Sad Eyes,Robert John
1979,1979-10-13,1979-10-13,Don't Stop 'Til You Get Enough,Michael Jackson
1979,1979-10-20,1979-10-20,Rise,Herb Alpert
1979,1979-11-03,1979-11-03,Pop Muzik,M
1979,1979-11-10,1979-11-10,Heartache Tonight,Eagles
1979,1979-11-17,1979-11-17,Still,Commodores
1979,1979-11-24,1979-11-24,No More Tears (Enough Is Enough),Barbra Streisand and Donna Summer
1979,1979-12-08,1979-12-08,Babe,Styx
1979,1979-12-22,1979-12-22,Escape (The Piña Colada Song),Rupert Holmes
1980,,,,
1980,1980-01-05,1980-01-05,Please Don't Go,KC and the Sunshine Band
1980,1980-01-12,1980-01-12,Escape (The Piña Colada Song),Rupert Holmes
1980,1980-01-19,1980-01-19,Rock with You,Michael Jackson
1980,1980-02-16,1980-02-16,Do That to Me One More Time,Captain & Tennille
1980,1980-02-23,1980-02-23,Crazy Little Thing Called Love,Queen
1980,1980-03-22,1980-03-22,"Another Brick in the Wall, Part II",Pink Floyd
1980,1980-04-19,1980-04-19,Call Me,Blondie
1980,1980-05-31,1980-05-31,Funkytown,Lipps Inc.
1980,1980-06-28,1980-06-28,Coming Up,Paul McCartney
1980,1980-07-19,1980-07-19,It's Still Rock and Roll to Me,Billy Joel
1980,1980-08-02,1980-08-02,Magic,Olivia Newton-John
1980,1980-08-30,1980-08-30,Sailing,Christopher Cross
1980,1980-09-06,1980-09-06,Upside Down,Diana Ross
1980,1980-10-04,1980-10-04,Another One Bites the Dust,Queen
1980,1980-10-25,1980-10-25,Woman in Love,Barbra Streisand
1980,1980-11-15,1980-11-15,Lady,Kenny Rogers
1980,1980-12-27,1980-12-27,(Just Like) Starting Over,John Lennon
1981,,,,
1981,1981-01-03,1981-01-03,(Just Like) Starting Over,John Lennon
1981,1981-01-31,1981-01-31,The Tide Is High,Blondie
1981,1981-02-07,1981-02-07,Celebration,Kool & the Gang
1981,1981-02-21,1981-02-21,9 to 5,Dolly Parton
1981,1981-02-28,1981-02-28,I Love a Rainy Night,Eddie Rabbitt
1981,1981-03-14,1981-03-14,9 to 5,Dolly Parton
1981,1981-03-21,1981-03-21,Keep On Loving You,REO Speedwagon
1981,1981-03-28,1981-03-28,Rapture,Blondie
1981,1981-04-11,1981-04-11,Kiss on My List,Daryl Hall and John Oates
1981,1981-05-02,1981-05-02,Morning Train (Nine to Five),Sheena Easton
1981,1981-05-16,1981-05-16,Bette Davis Eyes,Kim Carnes
1981,1981-06-20,1981-06-20,"Medley: Intro 'Venus'/Sugar, Sugar/No Reply/I'll Be Back/Drive My Car/Do You Want to Know a Secret/We Can Work It Out/I Should Have Known Better/Nowhere Man/You're Going to Lose That Girl/Stars on 45",Stars on 45
1981,1981-06-27,1981-06-27,Bette Davis Eyes,Kim Carnes
1981,1981-07-25,1981-07-25,The One That You Love,Air Supply
1981,1981-08-01,1981-08-01,Jessie's Girl,Rick Springfield
1981,1981-08-15,1981-08-15,Endless Love,Diana Ross and Lionel Richie
1981,1981-10-17,1981-10-17,Arthur's Theme (Best That You Can Do),Christopher Cross
1981,1981-11-07,1981-11-07,Private Eyes,Daryl Hall and John Oates
1981,1981-11-21,1981-11-21,Physical,Olivia Newton-John
1982,,,,
1982,1982-01-02,1982-01-02,Physical,Olivia Newton-John
1982,1982-01-30,1982-01-30,I Can't Go for That (No Can Do),Daryl Hall and John Oates
1982,1982-02-06,1982-02-06,Centerfold,The J. Geils Band
1982,1982-03-20,1982-03-20,I Love Rock 'n' Roll,Joan Jett and the Blackhearts
1982,1982-05-08,1982-05-08,Chariots of Fire,Vangelis
1982,1982-05-15,1982-05-15,Ebony and Ivory,Paul McCartney and Stevie Wonder
1982,1982-07-03,1982-07-03,Don't You Want Me,The Human League
1982,1982-07-24,1982-07-24,Eye of the Tiger,Survivor
1982,1982-09-04,1982-09-04,Abracadabra,Steve Miller Band
1982,1982-09-11,1982-09-11,Hard to Say I'm Sorry,Chicago
1982,1982-09-25,1982-09-25,Abracadabra,Steve Miller Band
1982,1982-10-02,1982-10-02,Jack & Diane,John Cougar
1982,1982-10-30,1982-10-30,Who Can It Be Now?,Men at Work
1982,1982-11-06,1982-11-06,Up Where We Belong,Joe Cocker and Jennifer Warnes
1982,1982-11-27,1982-11-27,Truly,Lionel Richie
1982,1982-12-11,1982-12-11,Mickey,Toni Basil
1982,1982-12-18,1982-12-18,Maneater,Daryl Hall and John Oates
1983,,,,
1983,1983-01-01,1983-01-01,Maneater,Daryl Hall and John Oates
1983,1983-01-15,1983-01-15,Down Under,Men at Work
1983,1983-02-05,1983-02-05,Africa,Toto
1983,1983-02-12,1983-02-12,Down Under,Men at Work
1983,1983-02-19,1983-02-19,"Baby, Come to Me",Patti Austin and James Ingram
1983,1983-03-05,1983-03-05,Billie Jean,Michael Jackson
1983,1983-04-23,1983-04-23,Come On Eileen,Dexys Midnight Runners
1983,1983-04-30,1983-04-30,Beat It,Michael Jackson
1983,1983-05-21,1983-05-21,Let's Dance,David Bowie
1983,1983-05-28,1983-05-28,Flashdance... What a Feeling,Irene Cara
1983,1983-07-09,1983-07-09,Every Breath You Take,The Police
1983,1983-09-03,1983-09-03,Sweet Dreams (Are Made of This),Eurythmics
1983,1983-09-10,1983-09-10,Maniac,Michael Sembello
1983,1983-09-24,1983-09-24,Tell Her About It,Billy Joel
1983,1983-10-01,1983-10-01,Total Eclipse of the Heart,Bonnie Tyler
1983,1983-10-29,1983-10-29,Islands in the Stream,Kenny Rogers and Dolly Parton
1983,1983-11-12,1983-11-12,All Night Long (All Night),Lionel Richie
1983,1983-12-10,1983-12-10,Say Say Say,Paul McCartney and Michael Jackson
1984,,,,
1984,1984-01-07,1984-01-07,Say Say Say,Paul McCartney and Michael Jackson
1984,1984-01-21,1984-01-21,Owner of a Lonely Heart,Yes
1984,1984-02-04,1984-02-04,Karma Chameleon,Culture Club
1984,1984-02-25,1984-02-25,Jump,Van Halen
1984,1984-03-31,1984-03-31,Footloose,Kenny Loggins
1984,1984-04-21,1984-04-21,Against All Odds (Take a Look at Me Now),Phil Collins
1984,1984-05-12,1984-05-12,Hello,Lionel Richie
1984,1984-05-26,1984-05-26,Let's Hear It for the Boy,Deniece Williams
1984,1984-06-09,1984-06-09,Time After Time,Cyndi Lauper
1984,1984-06-23,1984-06-23,The Reflex,Duran Duran
1984,1984-07-07,1984-07-07,When Doves Cry,Prince
1984,1984-08-11,1984-08-11,Ghostbusters,Ray Parker Jr.
1984,1984-09-01,1984-09-01,What's Love Got to Do with It,Tina Turner
1984,1984-09-22,1984-09-22,Missing You,John Waite
1984,1984-09-29,1984-09-29,Let's Go Crazy,Prince and the Revolution
1984,1984-10-13,1984-10-13,I Just Called to Say I Love You,Stevie Wonder
1984,1984-11-03,1984-11-03,Caribbean Queen (No More Love on the Run),Billy Ocean
1984,1984-11-17,1984-11-17,Wake Me Up Before You Go-Go,Wham!
1984,1984-12-08,1984-12-08,Out of Touch,Daryl Hall and John Oates
1984,1984-12-22,1984-12-22,Like a Virgin,Madonna
1985,,,,
1985,1985-01-05,1985-01-05,Like a Virgin,Madonna
1985,1985-02-02,1985-02-02,I Want to Know What Love Is,Foreigner
1985,1985-02-16,1985-02-16,Careless Whisper,Wham! featuring George Michael
1985,1985-03-09,1985-03-09,Can't Fight This Feeling,REO Speedwagon
1985,1985-03-30,1985-03-30,One More Night,Phil Collins
1985,1985-04-13,1985-04-13,We Are the World,USA for Africa
1985,1985-05-11,1985-05-11,Crazy for You,Madonna
1985,1985-05-18,1985-05-18,Don't You (Forget About Me),Simple Minds
1985,1985-05-25,1985-05-25,Everything She Wants,Wham!
1985,1985-06-08,1985-06-08,Everybody Wants to Rule the World,Tears for Fears
1985,1985-06-22,1985-06-22,Heaven,Bryan Adams
1985,1985-07-06,1985-07-06,Sussudio,Phil Collins
1985,1985-07-13,1985-07-13,A View to a Kill,Duran Duran
1985,1985-07-27,1985-07-27,Everytime You Go Away,Paul Young
1985,1985-08-03,1985-08-03,Shout,Tears for Fears
1985,1985-08-24,1985-08-24,The Power of Love,Huey Lewis and the News
1985,1985-09-07,1985-09-07,St. Elmo's Fire (Man in Motion),John Parr
1985,1985-09-21,1985-09-21,Money for Nothing,Dire Straits
1985,1985-10-12,1985-10-12,Oh Sheila,Ready for the World
1985,1985-10-19,1985-10-19,Take On Me,a-ha
1985,1985-10-26,1985-10-26,Saving All My Love for You,Whitney Houston
1985,1985-11-02,1985-11-02,Part-Time Lover,Stevie Wonder
1985,1985-11-09,1985-11-09,Miami Vice Theme,Jan Hammer
1985,1985-11-16,1985-11-16,We Built This City,Starship
1985,1985-11-30,1985-11-30,Separate Lives,Phil Collins and Marilyn Martin
1985,1985-12-07,1985-12-07,Broken Wings,Mr. Mister
1985,1985-12-21,1985-12-21,"Say You, Say Me",Lionel Richie
1986,,,,
1986,1986-01-04,1986-01-04,"Say You, Say Me",Lionel Richie
1986,1986-01-18,1986-01-18,"That's What Friends Are For ""†",Dionne and Friends
1986,1986-02-15,1986-02-15,How Will I Know,Whitney Houston
1986,1986-03-01,1986-03-01,Kyrie,Mr. Mister
1986,1986-03-15,1986-03-15,Sara,Starship
1986,1986-03-22,1986-03-22,These Dreams,Heart
1986,1986-03-29,1986-03-29,Rock Me Amadeus,Falco
1986,1986-04-19,1986-04-19,Kiss,Prince and the Revolution
1986,1986-05-03,1986-05-03,Addicted to Love,Robert Palmer
1986,1986-05-10,1986-05-10,West End Girls,Pet Shop Boys
1986,1986-05-17,1986-05-17,Greatest Love of All,Whitney Houston
1986,1986-06-07,1986-06-07,Live to Tell,Madonna
1986,1986-06-14,1986-06-14,On My Own,Patti LaBelle and Michael McDonald
1986,1986-07-05,1986-07-05,There'll Be Sad Songs (To Make You Cry),Billy Ocean
1986,1986-07-12,1986-07-12,Holding Back the Years,Simply Red
1986,1986-07-19,1986-07-19,Invisible Touch,Genesis
1986,1986-07-26,1986-07-26,Sledgehammer,Peter Gabriel
1986,1986-08-02,1986-08-02,Glory of Love,Peter Cetera
1986,1986-08-16,1986-08-16,Papa Don't Preach,Madonna
1986,1986-08-30,1986-08-30,Higher Love,Steve Winwood
1986,1986-09-06,1986-09-06,Venus,Bananarama
1986,1986-09-13,1986-09-13,Take My Breath Away,Berlin
1986,1986-09-20,1986-09-20,Stuck with You,Huey Lewis and the News
1986,1986-10-11,1986-10-11,When I Think of You,Janet Jackson
1986,1986-10-25,1986-10-25,True Colors,Cyndi Lauper
1986,1986-11-08,1986-11-08,Amanda,Boston
1986,1986-11-22,1986-11-22,Human,The Human League
1986,1986-11-29,1986-11-29,You Give Love a Bad Name,Bon Jovi
1986,1986-12-06,1986-12-06,The Next Time I Fall,Peter Cetera and Amy Grant
1986,1986-12-13,1986-12-13,The Way It Is,Bruce Hornsby & the Range
1986,1986-12-20,1986-12-20,Walk Like an Egyptian,The Bangles
1987,,,,
1987,1987-01-03,1987-01-03,"Walk Like an Egyptian ""†",The Bangles
1987,1987-01-17,1987-01-17,Shake You Down,Gregory Abbott
1987,1987-01-24,1987-01-24,At This Moment,Billy Vera and the Beaters
1987,1987-02-07,1987-02-07,Open Your Heart,Madonna
1987,1987-02-14,1987-02-14,Livin' on a Prayer,Bon Jovi
1987,1987-03-14,1987-03-14,Jacob's Ladder,Huey Lewis and the News
1987,1987-03-21,1987-03-21,Lean on Me,Club Nouveau
1987,1987-04-04,1987-04-04,Nothing's Gonna Stop Us Now,Starship
1987,1987-04-18,1987-04-18,I Knew You Were Waiting (For Me),Aretha Franklin and George Michael
1987,1987-05-02,1987-05-02,(I Just) Died in Your Arms,Cutting Crew
1987,1987-05-16,1987-05-16,With or Without You,U2
1987,1987-06-06,1987-06-06,You Keep Me Hangin' On,Kim Wilde
